,Key Communities,Shutoff,Latitude,Longitude,Day,High,Low,Humidity,Dewpoint,Pressure,Windspeed,Windgust,Cover
142,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
143,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
144,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
145,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
146,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
147,Oroville,True,39.5137752,-121.556359,2019-10-24,92.37,63.59,0.23,26.6,1016.5,6.62,17.33,0.06
148,Oroville,True,39.5137752,-121.556359,2019-10-25,92.0,57.11,0.08,10.15,1018.1,7.28,14.57,0.14
149,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
150,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
151,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
152,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
153,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
154,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
155,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
156,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
157,Oroville,True,39.5137752,-121.556359,2019-10-26,88.02,53.9,0.17,21.96,1018.5,4.12,7.85,0.02
158,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
159,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
160,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
161,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
162,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
163,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
164,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
165,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
166,Oroville,True,39.5137752,-121.556359,2019-10-27,84.04,52.89,0.3,33.56,1011.0,3.81,9.33,0.01
167,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
168,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
169,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
170,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
171,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
172,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
173,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
174,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
175,Oroville,True,39.5137752,-121.556359,2019-10-28,72.26,44.61,0.12,8.01,1015.2,9.67,29.02,0.0
176,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
177,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
178,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
179,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
180,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
181,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
182,Oroville,True,39.5137752,-121.556359,2019-10-29,72.05,44.29,0.14,6.78,1017.3,4.64,9.75,0.04
183,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
184,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
185,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
186,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
187,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
188,Oroville,True,39.5137752,-121.556359,2019-10-30,71.06,42.21,0.17,6.43,1015.7,7.09,19.21,0.07
